app_name,size
Olivernyu/sentiment_analysis_app,9372.12
johnowhitaker/twitter_viz,6064.799999999999
pouchedfox/SP,8409.04
Mohit-321/WhatsappchatAnalyzer,21669.16
kajalag/Whatsapp_Chat_Analyzer,21669.16
Bedirhan/bitirme-proje,10534.28
pouchedfox/Sen,9780.2
euvieeugenio/textclassification_demo_app,2732.52
varunkuntal/twitter-roberta-base-sentiment,1866.52
furquan/TwitterSentimentAnalysisRoberta,356603.08
edusei/sentiment,14092.96
Captainlongshort/TwitterSentiment,1866.52
ac8736/sentiment-analysis-app,96698.16
MJ3128/CS-GY-6613-Project,213201.16
sethlxk/milestone2,3344.0
sihanasaku/SentimentAnalysisApp,876.0
juliaannjose/SentimentAnalysis,2828.76
EmirLise/sentiment_analysis,1418.08
arianasutanto/milestone2,2875.2
miknad2319/CS485-Milestone-2,5105.08
andyqin18/sentiment-analysis-app,19491.24
dahongj/sentiment-analysis,86183.88
slachitoff/CS-GY_6613_Project,3924.2
Kev07/Toxic-Tweets,90548.72
VarshithaCh/sentiment-analysis-app,2126.16
jbraha/aiproject,594777.92
notbhu/toxic-tweets,4048.4
simon-kurbiel/sen-analysis,1696.52
simon-kurbiel/Sentiment-Analysis,3221.04
Ptato/Sentiment-Analysis,30588.120000000003
saccharinedreams/sentiment-analysis-app,44807.6
AaronBarbosa/twitter_sentiment,471484.80000000005
xingxing12/cardiffnlp-twitter-roberta-base-sentiment,1893.52
dperales/ITACA_Insurance_Core_v4,256382.87999999995
jeromechew15/milestone2,3350.0
rk2546/csgy-6613-project-rk2546,30787.6
EmirLise/Toxic_Clasifier,6256.4
JKJanosko/Toxicity-Analysis,150526.52
simon-kurbiel/tweet-toxicity,1773.52
rbbotadra/toxicity-analyzer-app,296719.52
danielperales/ITACA_Insurace_NLP_v2,256432.87999999995
VarshithaCh/patentability,249837.08
HarshAI/Dual_Model_Sentiment_Analyzer,3772.12
diadeMniaso/SentimentAnalysisApp,158495.8
SaraHossam/SentimentAnalysis,2794.76
Mohit-321/Whatsapp_Chat_Analyzer,21659.16
nassga/Toxic_tweets_analizer,3105.0
k-varma/tweet-sentiment-analysis,3202.16
HOLYBOY/Sentiment_Analysis_App,32581.199999999997
asungajinli/cardiffnlp-twitter-roberta-base-sentiment,1919.48
lokesh6361/analysis,2559.48
benmanks/Sentiment-app,3811.3199999999997
jatinjaglan/wca,22829.480000000003
CK42/sentiment-model-comparison,4970.2
EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros,13619.52
awacke1/Daredevil-Text-Generation,4785.88
AE-NV/sentiment-productreview,3111.2
SamiAlghamdi/FirstEver,221716.32
BulatF/StreamlitSentiment,11688.439999999999
Sudhanshu976/NLP_FULL_APP,4207.76
kmanoj/Sentiment_Analysis,6653.52
utec/Manuel2002,1630.08
kennyhelsens/mlux-feedback-tally,3851.92
Wootang01/sentiment_analyzer_3,2040.08
snoopy731/Goodreads-Score,2542.52
nikhil567/book-recommend-review-system,10086.759999999998
HamidBekam/Test_DeployingHFMs_Gradio,2743.52
junming-qiu/toxic-tweets-milestone-2,35625.880000000005
juliaannjose/SentimentAnalysis,2828.76
Samp007/Sentiment-analysis-app,3000.88
slachitoff/CS-GY_6613_Project,3924.2
corykhal/AI-project,5409.719999999999
Sixty9/TA3,3916.92
Sixty9/TA4,3919.16
Sixty9/TA5,3921.16
Sixty9/TA6,4062.52
ShadowDominator/feedback-sentiment-analysis,3647.48
ShadowDominator/sentiment-analysis,5538.12
mohanchinnappan/senti,5528.639999999999
After-the-Dark/sentiment-analysis,5538.12
Matt-CB/TwitterAccountAnalyzer,12399.6
VeyVey/CovidSentiment,2404.52
VeyVey/Predict_Weather,3280.8
Sixty9/TA7,4090.52
Sixty9/Sixth_Sense,4146.2
patel18/sentiment_analysis,3505.6
santireyg/memeficador,3489.3599999999997
Shweta0801/demo-app-text-sentiment-analysis,2039.48
joey1895/nlptown-bert-base-multilingual-uncased-sentiment,1963.48
Chris4K/chained,17816.48
kitakitune/spaces0703,2232.48
Krupa049/Milestone-2,697033.48
CosmoAI/CosmoS,9120.439999999999
alexanderander30/nlptown-bert-base-multilingual-uncased-sentiment,1930.48
Sixty9/SixthSense,4365.48
Abdel/nlptown-bert-base-multilingual-uncased-sentiment,1929.48
GroNLP/LM-Explanation-Demo,1477584.9399999997
TensorBoyML/Lucky-Pika,3486.6
Sowmya1022/nlptown-bert-base-multilingual-uncased-sentiment,1932.48
ans123/nlptown-bert-base-multilingual-uncased-sentiment,1930.48
LeireTedCas/QUIROHELP_WEB_v1,127227.07999999999
rohanvetale/sent1,6653.52
taimoor61/classification,2748.48
7jimmy/textclassificationbysharjeel,2709.48
7jimmy/textclassificationbyjiimy,2998.2
IoannisTr/Tech_Stocks_Trading_Assistant,38157.36
sbhatti2009/stock-analysis,9630.56
Shredder/CONBERT-3,35289.97
EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros,13619.52
amgross01/Stocks_Trading_Assistant,38186.12
darthPanda/Social_media_sentiment_tracker,23356.12
sohomghosh/FinLanSer_Financial_Language_Simplifier,9743.36
Shredder/CONBERT-2,35248.01
sohomghosh/FLUEnT,22595.450000000004
sohomghosh/FinRead,634166.24
rajistics/interpet_transformers,6308.599999999999
Shredder/CONBERT,35512.25
ESG-TFM-UV/ESG_API_BATCH,23345.38
Swindu/ProsusAI-finbert,1825.52
awacke1/HEDIS.Dash.Component.Top.Clinical.Terminology.Vocabulary,29149.32
talaa/Financial-sentiment-news-analysis,16775.04
TrungTech/finBert,15575.56
kudoshinichi/hf-sentiment-models,2510.48
mixcard/text-finbert,1863.48
vives/bert_cvent_top_k_sim,11517.29
husnu/ASR_to_QA,6807.92
Shredder/Prototype,72226.89
Shredder/Sample,35972.05
kandy/Lab_stat,2127.16
wiraindrak/financial-sentiment-classification-indonesia,6898.08
wuwu1/ProsusAI-finbert,1787.52
darthPanda/SentimentAnalysisTool,34429.72
ateliershen/ProsusAI-finbert,1828.52
kelvinleong/Kt-Demo-Text_classifier-2,2432.52
ac8736/sentiment-analysis-app,96698.16
miknad2319/CS485-Milestone-2,5105.08
Pruthul/CS482-104-Milestone2,3393.76
slachitoff/CS-GY_6613_Project,3924.2
huangtianba/ProsusAI-finbert,1824.52
JKJanosko/Toxicity-Analysis,150526.52
2gauravc/ProsusAI-finbert,1846.52
kya5/CS482-Milestone2,2718.52
flexcupVcomka/Kt-Demo-Text_classifier-2,134613.24000000002
Ntabukiraniro/Finance,4443.14
daramaccoille/ProsusAI-finbert,1824.52
teragron/ekmek,5174.96
Himanshusingh/sec_sentiment_analysis,68093.28
manvik28/SEC_Sentiment_Analysis,14019.08
asungajinli/ProsusAI-finbert,1865.48
TrungTech/Financial_Sentiment_Analysis_with_BERT,9743.36
kp03/finBert,16224.96
davissong01/financial-sentiment-analysis,2435.48
nsjzg/ProsusAI-finbert,1866.48
justlookup/ProsusAI-finbert,1866.48
alexpaul/ProsusAI-finbert,1854.48
JaCrispy35/financial_sentiment_analysis_advisor,5472.4400000000005
zama-fhe/encrypted_sentiment_analysis,72902.31999999999
jmparejaz/Audio_to_text_classification,5603.35
tinkoff-ai/caif,28855.159999999996
Margaret/mazzuma-sentiment-engine,2009.08
rizam/rakeeb_text-classification,3553.52
poiiii/clefourrier-graphormer-base-pcqm4mv1,2190.52
834188divi/cardiffnlp-twitter-roberta-base-sentiment-latest,1931.48
ThankGod/text-classification,3507.52
rizam/rakeeb_tweet_sentiment,1878.52
bradarrML/encrypted_sentiment_analysis,74530.04
mattaylor/embedding,2904.52
FrancescoBerg/cardiffnlp-twitter-roberta-base-sentiment-latest,1890.52
dajayk12/cardiffnlp-twitter-roberta-base-sentiment-latest,1888.52
dvilasuero/gradio-argilla-logger,2939.12
Daniton/cardiffnlp-twitter-roberta-base-sentiment-latest,1890.52
Daniton/cardiffnlp-twitter-roberta-base-sentiment-latestd,1964.52
Daniton/cardiffnlp-twitter-roberta-base-sentidment-latestd,1965.52
Daniton/cardiffnlp-twitter-roberta-based-sentidment-latestd,1966.52
Daniton/cardiffnlp-twitter-robertam-based-sentidment-latestd,1967.52
Daniton/cardiffnlp-twitter-robertam-based-sentiddment-latestd,1968.52
Daniton/cardiffnlp-twitter-drobertam-based-sentiddment-latestd,1969.52
Daniton/cardiffnlp-twitter-drobertam-basedd-sentiddment-latestd,1970.52
lsacy/menduChat,154838.12
quni/cardiffnlp-twitter-roberta-base-sentiment-latest,1905.52
cscan/Audio_to_text_classification,5647.35
